分類名,関連しているディスカッション内容,確認したファクト内容,ファクトURL,パブリッシャー
料金・容量,料金が一番気になる／30GB帯で足りる？／ahamo大盛りとUQの中容量どっち…,"ahamoは月30GB/2,970円・税込。基本プランに『5分以内の国内通話無料』を含む。",https://ahamo.com/plan/index.html,ahamo
料金・容量,料金が一番気になる／30GB帯で足りる？／ahamo大盛りとUQの中容量どっち…,"大盛りオプション80GBは+1,980円/月で合計110GB。1GB追加は+550円。",https://ahamo.com/plan/index.html,ahamo
通話オプション,5分無料で足りる？長電話も多い…／留守番電話の有無で悩む…,"国内通話かけ放題オプションは+1,100円/月（5分超過時は22円/30秒）。",https://ahamo.com/plan/index.html,ahamo
海外ローミング,海外旅行・出張で現地でも使える？91の国と地域って本当？…,海外データ通信は追加料金不要で『月30GB』まで利用可。対応は海外91の国と地域。,https://ahamo.com/services/roaming-data/index.html,ahamo
海外ローミング,海外旅行・出張で現地でも使える？91の国と地域って本当？…,海外での連続利用が15日を超えると、通信速度は最大128kbpsに制限。,https://faq.ahamo.com/faq/show/98?category_id=28&site_domain=default,ahamo FAQ
海外ローミング,海外旅行・出張で現地でも使える？91の国と地域って本当？…,海外利用でも30GB超過時は最大1Mbpsへ。大盛り加入中でも海外の上限は30GB。,https://faq.ahamo.com/faq/show/2429?category_id=30&site_domain=default,ahamo FAQ
電波・エリア,地下や屋内のつながり／地方や山間部の電波が心配…,ahamoはドコモの5G/4G(LTE)エリアで利用可能（FOMA 3Gは対象外）。,https://ahamo.com/area/,ahamo
初期費用・手数料,契約事務手数料やSIM発行費は？送料は？…,事務手数料は新規・乗り換えともに0円。送料も0円。,https://ahamo.com/plan/index.html,ahamo
SMS/MMS/付加機能,SMSの文字数課金／キャッチホン・留守電・迷惑電話対策…,SMS国内送信料は文字数に応じて1回3.3円〜33円。受信は無料。,https://www.docomo.ne.jp/service/sms/charge/,NTTドコモ
支払い方法,クレジットカード/口座振替の可否と注意点…,ahamoの支払い方法は『口座振替』または『クレジットカード払い』に対応。,https://faq.ahamo.com/faq/show/123?category_id=22&site_domain=default,ahamo FAQ
eSIM/MNP/手続き,eSIMの開通・再発行の流れ／ワンストップMNPは？…,ahamoはeSIMに対応。開通手順は公式に掲載。,https://ahamo.com/flow/how-to-start-esim/index.html,ahamo
テザリング,上限や追加料金の有無／海外での可否…,テザリングは毎月の利用可能データ量の範囲内で無料で利用可能。,https://faq.ahamo.com/faq/show/149?category_id=28&site_domain=default,ahamo FAQ
SMS/MMS/付加機能,SMSの文字数課金／キャッチホン・留守電・迷惑電話対策…,ahamoでは留守番電話・キャッチホン・転送でんわサービスは利用不可。着信通知サービスは利用可。,https://faq.ahamo.com/faq/show/64?category_id=28&site_domain=default,ahamo FAQ
SMS/MMS/付加機能,SMSの文字数課金／キャッチホン・留守電・迷惑電話対策…,迷惑電話ストップサービスは利用可能。,https://faq.ahamo.com/faq/show/45?site_domain=default,ahamo FAQ
サポート・店舗,店舗でサポートは受けたいが料金次第…／UQスポットやドコモショップの対応…,"ドコモショップで『ahamo WEBお申込み/お手続きサポート』各3,300円/回（税込）。",https://faq.ahamo.com/faq/show/310?category_id=20&site_domain=default,ahamo FAQ
日割・最低利用・解約,月途中の契約/解約で日割りになる？最低利用や解除料は…,ahamo解約月は日割りにならず満額。新規契約・MNPの初月は日割り。ドコモ→ahamo変更は日割りなし。,https://faq.ahamo.com/faq/show/94?category_id=23&site_domain=default,ahamo FAQ
通話オプション,5分無料で足りる？長電話も多い…／留守番電話の有無で悩む…,『かけ放題オプション』は単体申込だと月途中でも日割りなし。新規/MNP同時申込のみ初月日割り。,https://faq.ahamo.com/faq/show/149?category_id=28&site_domain=default,ahamo FAQ
速度・混雑時間帯,昼12時〜13時の速度低下が不安／通勤時間帯の実測・Pingを知りたい…,実測の参考：みんなのネット回線速度『ahamo』のユーザー測定データ（例：2025-10-25の実測複数）。,https://minsoku.net/speeds/mobile_major_carrier/services/ahamo,みんなのネット回線速度
割引・特典,家族で安くなる条件？／カード払い特典の実利が知りたい…,dカード支払いで『ボーナスパケット』毎月+1GB／dカード GOLD等は+5GB。,https://ahamo.com/plan/index.html,ahamo
海外ローミング,海外旅行・出張で現地でも使える？91の国と地域って本当？…,ahamoの海外データは“海外91の国・地域で追加料金なし”の公式説明。,https://faq.ahamo.com/faq/show/2441?category_id=30&site_domain=default,ahamo FAQ
料金・容量,料金が一番気になる／30GB帯で足りる？／ahamo大盛りとUQの中容量どっち…,"UQモバイル『トクトクプラン2』：～5GBは2,178円/月、5〜30GBは3,278円/月（家族セット割−550円、au PAYカードお支払い割−220円込みの例）。",https://www.uqwimax.jp/mobile/newplan/tokutoku2/,UQ mobile
割引・特典,家族で安くなる条件？／カード払い特典の実利が知りたい…,家族セット割は同一支払いと対象回線で1回線あたり−550円/月。,https://www.uqwimax.jp/mobile/ryoukin/family-setwari/,UQ mobile
割引・特典,家族で安くなる条件？／カード払い特典の実利が知りたい…,au PAYカードお支払い割は−220円/月。,https://www.uqwimax.jp/mobile/ryoukin/aupay-card-oshiharaiwari/,UQ mobile
データ繰り越し・節約モード,繰り越しや節約モードの有無（1Mbps/300kbps）を確認したい…,トクトクプラン2・コミコミプランバリュー等は月間上限到達後『最大1Mbps』、トクトク2は40GB超で128kbps。,https://www.uqwimax.jp/mobile/description/,UQ mobile
データ繰り越し・節約モード,繰り越しや節約モードの有無（1Mbps/300kbps）を確認したい…,ミニミニプラン・旧くりこしプランS等は上限到達後『最大300kbps』（新規受付終了含む）。,https://www.uqwimax.jp/mobile/description/,UQ mobile
データ繰り越し・節約モード,繰り越しや節約モードの有無（1Mbps/300kbps）を確認したい…,トクトクプラン2は『節約モード』対象外（注意事項に明記）。,https://www.uqwimax.jp/mobile/newplan/tokutoku2/,UQ mobile
料金・容量,料金が一番気になる／30GB帯で足りる？／ahamo大盛りとUQの中容量どっち…,コミコミプラン＋はデータ上限50GB。50GB超過時は当月末まで最大128kbps。,https://www.uqwimax.jp/mobile/products/plan/komikomiplan_plus/,UQ mobile
通話オプション,5分無料で足りる？長電話も多い…／留守番電話の有無で悩む…,コミコミプラン＋は『通話放題ライト（10分かけ放題）』と『通話パック60』を内包。,https://www.uqwimax.jp/mobile/newplan/,UQ mobile
電波・エリア,地下や屋内のつながり／地方や山間部の電波が心配…,UQモバイルはauの5G/4G LTEエリアで利用可能（公式エリアマップ参照）。,https://www.uqwimax.jp/mobile/area/map/default/,UQ mobile
初期費用・手数料,契約事務手数料やSIM発行費は？送料は？…,"UQモバイルの契約事務手数料は3,850円（税込）。機種変更も3,850円。",https://www.uqwimax.jp/mobile/description/,UQ mobile
